id,num_tournaments,total_players,name,avg_players_per_tournament
108387,2259,10399,Person ID 108387,4.60
102198,785,11429,Person ID 102198,14.56
108715,676,14467,Person ID 108715,21.40
100145,524,6467,Person ID 100145,12.34
127778,492,6724,Person ID 127778,13.67
106856,488,9587,Person ID 106856,19.65
100317,432,9934,Person ID 100317,23.00
110253,421,2421,Person ID 110253,5.75
106974,419,9614,Person ID 106974,22.95
109477,404,4984,Person ID 109477,12.34
111830,384,7423,Person ID 111830,19.33
108202,372,8513,Person ID 108202,22.88
102743,371,4027,Person ID 102743,10.85
135072,353,5468,Person ID 135072,15.49
109502,345,5346,Person ID 109502,15.50
127489,304,5183,Person ID 127489,17.05
152905,276,3353,Person ID 152905,12.15
130181,267,9033,Person ID 130181,33.83
133671,259,3413,Person ID 133671,13.18
121329,253,7441,Person ID 121329,29.41
107391,251,6878,Person ID 107391,27.40
125681,236,4861,Person ID 125681,20.60
151773,218,14069,Person ID 151773,64.54
103802,216,1825,Person ID 103802,8.45
127516,215,5778,Person ID 127516,26.87
107847,213,3591,Person ID 107847,16.86
106868,203,3623,Person ID 106868,17.85
106295,200,3515,Person ID 106295,17.57
148196,185,5238,Person ID 148196,28.31
142366,184,2592,Person ID 142366,14.09
149964,183,2474,Person ID 149964,13.52
101768,178,2227,Person ID 101768,12.51
102718,175,1426,Person ID 102718,8.15
108098,172,5680,Person ID 108098,33.02
101126,170,2828,Person ID 101126,16.64
102646,156,3141,Person ID 102646,20.13
128173,152,1647,Person ID 128173,10.84
106389,150,2602,Person ID 106389,17.35
162989,150,2129,Person ID 162989,14.19
134840,148,893,Person ID 134840,6.03
135360,144,3363,Person ID 135360,23.35
106340,137,1502,Person ID 106340,10.96
100205,124,2157,Person ID 100205,17.40
147050,118,3557,Person ID 147050,30.14
128388,115,3138,Person ID 128388,27.29
102882,114,538,Person ID 102882,4.72
161759,109,1379,Person ID 161759,12.65
149970,109,267,Person ID 149970,2.45
101613,108,2671,Person ID 101613,24.73
120416,107,1404,Person ID 120416,13.12
104137,105,1748,Person ID 104137,16.65
134227,102,2738,Person ID 134227,26.84
107766,102,1552,Person ID 107766,15.22
107184,102,1228,Person ID 107184,12.04
111363,99,1323,Person ID 111363,13.36
105731,98,1105,Person ID 105731,11.28
107872,95,1547,Person ID 107872,16.28
140705,95,1478,Person ID 140705,15.56
144013,94,1775,Person ID 144013,18.88
102713,93,1927,Person ID 102713,20.72
131213,92,649,Person ID 131213,7.05
144016,91,732,Person ID 144016,8.04
152691,90,461,Person ID 152691,5.12
111760,89,1016,Person ID 111760,11.42
103841,88,1765,Person ID 103841,20.06
107301,87,2129,Person ID 107301,24.47
110803,87,1198,Person ID 110803,13.77
101588,87,632,Person ID 101588,7.26
101495,86,1051,Person ID 101495,12.22
102868,83,833,Person ID 102868,10.04
103179,82,1879,Person ID 103179,22.91
160222,82,1561,Person ID 160222,19.04
145502,82,1034,Person ID 145502,12.61
105964,82,701,Person ID 105964,8.55
156393,79,1101,Person ID 156393,13.94
143315,78,2090,Person ID 143315,26.79
167627,77,1457,Person ID 167627,18.92
100314,77,1410,Person ID 100314,18.31
135013,77,586,Person ID 135013,7.61
106424,76,947,Person ID 106424,12.46
108844,76,441,Person ID 108844,5.80
110646,74,1132,Person ID 110646,15.30
106687,72,1019,Person ID 106687,14.15
109003,72,660,Person ID 109003,9.17
160251,71,2031,Person ID 160251,28.61
106693,70,2352,Person ID 106693,33.60
109393,70,963,Person ID 109393,13.76
150532,69,1127,Person ID 150532,16.33
100238,69,1019,Person ID 100238,14.77
131965,67,497,Person ID 131965,7.42
110490,65,1884,Person ID 110490,28.98
100355,65,641,Person ID 100355,9.86
134704,63,1734,Person ID 134704,27.52
130308,63,1729,Person ID 130308,27.44
102011,63,1698,Person ID 102011,26.95
103074,63,869,Person ID 103074,13.79
153005,61,1443,Person ID 153005,23.66
106376,61,850,Person ID 106376,13.93
100253,61,804,Person ID 100253,13.18
147889,60,543,Person ID 147889,9.05
106052,58,740,Person ID 106052,12.76
121367,58,708,Person ID 121367,12.21
101735,58,633,Person ID 101735,10.91
140163,58,266,Person ID 140163,4.59
103373,57,363,Person ID 103373,6.37
105606,56,481,Person ID 105606,8.59
109746,55,1824,Person ID 109746,33.16
121684,55,730,Person ID 121684,13.27
108689,54,791,Person ID 108689,14.65
103904,54,491,Person ID 103904,9.09
104754,53,754,Person ID 104754,14.23
123257,53,690,Person ID 123257,13.02
162159,53,687,Person ID 162159,12.96
101072,53,682,Person ID 101072,12.87
109445,53,478,Person ID 109445,9.02
167885,52,1415,Person ID 167885,27.21
172995,51,1046,Person ID 172995,20.51
135185,51,937,Person ID 135185,18.37
126311,51,307,Person ID 126311,6.02
154251,51,293,Person ID 154251,5.75
103040,49,733,Person ID 103040,14.96
184666,49,451,Person ID 184666,9.20
120619,48,746,Person ID 120619,15.54
102686,47,1244,Person ID 102686,26.47
102330,47,759,Person ID 102330,16.15
106863,46,566,Person ID 106863,12.30
121063,46,562,Person ID 121063,12.22
126146,45,1133,Person ID 126146,25.18
109925,45,567,Person ID 109925,12.60
145711,45,342,Person ID 145711,7.60
127485,44,901,Person ID 127485,20.48
139674,44,866,Person ID 139674,19.68
111251,44,639,Person ID 111251,14.52
135000,44,461,Person ID 135000,10.48
100223,44,332,Person ID 100223,7.55
128005,44,320,Person ID 128005,7.27
104462,43,546,Person ID 104462,12.70
128800,42,817,Person ID 128800,19.45
106266,42,651,Person ID 106266,15.50
148040,41,864,Person ID 148040,21.07
