id,num_tournaments,total_players,name,avg_players_per_tournament
108387,1484,7445,Person ID 108387,5.02
106856,430,8637,Person ID 106856,20.09
100145,378,4935,Person ID 100145,13.06
127778,377,6090,Person ID 127778,16.15
109502,321,4875,Person ID 109502,15.19
109477,318,4056,Person ID 109477,12.75
108202,286,6573,Person ID 108202,22.98
145502,272,3689,Person ID 145502,13.56
111830,257,5437,Person ID 111830,21.16
127489,249,4250,Person ID 127489,17.07
172995,249,2740,Person ID 172995,11.00
133671,244,3218,Person ID 133671,13.19
110253,237,1374,Person ID 110253,5.80
125681,232,4739,Person ID 125681,20.43
152691,216,2720,Person ID 152691,12.59
130181,215,8178,Person ID 130181,38.04
106868,211,3867,Person ID 106868,18.33
101126,201,3604,Person ID 101126,17.93
152905,184,2496,Person ID 152905,13.57
102198,178,2706,Person ID 102198,15.20
135072,177,3174,Person ID 135072,17.93
142366,168,2414,Person ID 142366,14.37
107301,160,4146,Person ID 107301,25.91
162989,150,2129,Person ID 162989,14.19
149964,147,2073,Person ID 149964,14.10
127516,145,3638,Person ID 127516,25.09
102646,144,2839,Person ID 102646,19.72
101768,143,1729,Person ID 101768,12.09
151773,138,8272,Person ID 151773,59.94
102713,136,3058,Person ID 102713,22.49
104186,132,4784,Person ID 104186,36.24
139674,130,2532,Person ID 139674,19.48
107391,122,2539,Person ID 107391,20.81
140705,117,2018,Person ID 140705,17.25
121329,116,3636,Person ID 121329,31.34
147050,115,3490,Person ID 147050,30.35
108098,114,3743,Person ID 108098,32.83
149970,111,293,Person ID 149970,2.64
148196,108,3279,Person ID 148196,30.36
178105,102,3033,Person ID 178105,29.74
161759,102,1297,Person ID 161759,12.72
176962,101,3247,Person ID 176962,32.15
106007,100,4325,Person ID 106007,43.25
106974,98,2792,Person ID 106974,28.49
135185,96,2048,Person ID 135185,21.33
107872,96,1641,Person ID 107872,17.09
144016,93,742,Person ID 144016,7.98
103043,92,3300,Person ID 103043,35.87
172253,82,1522,Person ID 172253,18.56
105731,82,915,Person ID 105731,11.16
100942,81,1650,Person ID 100942,20.37
167893,81,1320,Person ID 167893,16.30
103802,79,541,Person ID 103802,6.85
150532,78,2372,Person ID 150532,30.41
103179,77,1773,Person ID 103179,23.03
167627,77,1457,Person ID 167627,18.92
102868,76,1194,Person ID 102868,15.71
102882,75,331,Person ID 102882,4.41
109746,74,2488,Person ID 109746,33.62
135360,72,1570,Person ID 135360,21.81
104137,71,1126,Person ID 104137,15.86
106340,70,697,Person ID 106340,9.96
135013,70,520,Person ID 135013,7.43
100253,69,905,Person ID 100253,13.12
101588,69,363,Person ID 101588,5.26
160222,68,1436,Person ID 160222,21.12
102718,68,548,Person ID 102718,8.06
154420,67,1462,Person ID 154420,21.82
143315,62,1735,Person ID 143315,27.98
153005,61,1443,Person ID 153005,23.66
154251,61,450,Person ID 154251,7.38
148756,60,1641,Person ID 148756,27.35
130308,60,1632,Person ID 130308,27.20
107847,60,860,Person ID 107847,14.33
128173,58,700,Person ID 128173,12.07
140163,58,266,Person ID 140163,4.59
184666,57,601,Person ID 184666,10.54
100925,56,1151,Person ID 100925,20.55
110299,56,911,Person ID 110299,16.27
184609,55,797,Person ID 184609,14.49
108832,54,1084,Person ID 108832,20.07
147889,54,511,Person ID 147889,9.46
102686,53,1365,Person ID 102686,25.75
162159,53,687,Person ID 162159,12.96
105606,53,463,Person ID 105606,8.74
173027,51,1719,Person ID 173027,33.71
108715,50,629,Person ID 108715,12.58
100991,49,769,Person ID 100991,15.69
158037,47,473,Person ID 158037,10.06
103050,46,1228,Person ID 103050,26.70
151433,46,1149,Person ID 151433,24.98
102330,46,648,Person ID 102330,14.09
103074,44,669,Person ID 103074,15.20
103023,44,438,Person ID 103023,9.95
102011,43,1054,Person ID 102011,24.51
120619,43,703,Person ID 120619,16.35
101495,43,673,Person ID 101495,15.65
101034,42,845,Person ID 101034,20.12
131213,42,258,Person ID 131213,6.14
101793,41,1446,Person ID 101793,35.27
110646,41,803,Person ID 110646,19.59
129817,41,660,Person ID 129817,16.10
105964,41,378,Person ID 105964,9.22
101072,39,507,Person ID 101072,13.00
102345,38,756,Person ID 102345,19.89
144013,38,626,Person ID 144013,16.47
106389,38,515,Person ID 106389,13.55
152286,37,1323,Person ID 152286,35.76
148040,37,761,Person ID 148040,20.57
100355,37,504,Person ID 100355,13.62
167681,36,895,Person ID 167681,24.86
128388,35,867,Person ID 128388,24.77
132423,35,736,Person ID 132423,21.03
134227,35,704,Person ID 134227,20.11
148745,35,316,Person ID 148745,9.03
129909,34,653,Person ID 129909,19.21
100909,34,401,Person ID 100909,11.79
102743,34,309,Person ID 102743,9.09
105141,33,750,Person ID 105141,22.73
125727,33,277,Person ID 125727,8.39
156393,32,509,Person ID 156393,15.91
104462,32,452,Person ID 104462,14.13
185558,32,404,Person ID 185558,12.63
133579,31,1568,Person ID 133579,50.58
137101,31,875,Person ID 137101,28.23
157964,31,534,Person ID 157964,17.23
136791,31,490,Person ID 136791,15.81
134499,31,117,Person ID 134499,3.77
132393,30,605,Person ID 132393,20.17
172302,29,479,Person ID 172302,16.52
101770,28,578,Person ID 101770,20.64
139554,28,342,Person ID 139554,12.21
104911,28,283,Person ID 104911,10.11
103373,28,130,Person ID 103373,4.64
158338,27,1109,Person ID 158338,41.07
101613,27,879,Person ID 101613,32.56
100337,27,695,Person ID 100337,25.74
154453,27,372,Person ID 154453,13.78
170819,26,843,Person ID 170819,32.42
106342,26,703,Person ID 106342,27.04
137228,26,310,Person ID 137228,11.92
107269,26,289,Person ID 107269,11.12
105108,26,273,Person ID 105108,10.50
140557,25,814,Person ID 140557,32.56
173943,25,793,Person ID 173943,31.72
157008,25,572,Person ID 157008,22.88
152648,25,323,Person ID 152648,12.92
145711,25,219,Person ID 145711,8.76
142946,25,173,Person ID 142946,6.92
100904,24,413,Person ID 100904,17.21
126660,24,348,Person ID 126660,14.50
103047,24,322,Person ID 103047,13.42
111251,24,314,Person ID 111251,13.08
189898,24,193,Person ID 189898,8.04
150533,23,918,Person ID 150533,39.91
100944,23,744,Person ID 100944,32.35
162657,23,469,Person ID 162657,20.39
153540,23,443,Person ID 153540,19.26
187071,23,400,Person ID 187071,17.39
162803,23,289,Person ID 162803,12.57
125730,23,262,Person ID 125730,11.39
109393,23,247,Person ID 109393,10.74
165292,23,222,Person ID 165292,9.65
172572,23,155,Person ID 172572,6.74
154197,23,138,Person ID 154197,6.00
162500,23,98,Person ID 162500,4.26
106295,22,383,Person ID 106295,17.41
143038,22,321,Person ID 143038,14.59
103754,22,237,Person ID 103754,10.77
123727,22,138,Person ID 123727,6.27
110949,21,744,Person ID 110949,35.43
105650,21,501,Person ID 105650,23.86
162670,21,454,Person ID 162670,21.62
141086,21,443,Person ID 141086,21.10
151235,21,401,Person ID 151235,19.10
128800,21,248,Person ID 128800,11.81
107184,21,219,Person ID 107184,10.43
161221,20,634,Person ID 161221,31.70
131928,20,519,Person ID 131928,25.95
167770,20,509,Person ID 167770,25.45
107766,20,371,Person ID 107766,18.55
106424,20,319,Person ID 106424,15.95
161893,20,272,Person ID 161893,13.60
142224,20,251,Person ID 142224,12.55
103904,20,174,Person ID 103904,8.70
122967,20,96,Person ID 122967,4.80
100205,19,529,Person ID 100205,27.84
172646,19,302,Person ID 172646,15.89
149130,19,227,Person ID 149130,11.95
145882,19,210,Person ID 145882,11.05
135000,19,202,Person ID 135000,10.63
181013,19,133,Person ID 181013,7.00
158246,18,344,Person ID 158246,19.11
105934,18,299,Person ID 105934,16.61
105611,18,292,Person ID 105611,16.22
126735,18,208,Person ID 126735,11.56
121063,18,192,Person ID 121063,10.67
111760,18,182,Person ID 111760,10.11
139775,18,142,Person ID 139775,7.89
112806,18,114,Person ID 112806,6.33
103011,17,525,Person ID 103011,30.88
148100,17,505,Person ID 148100,29.71
100319,17,354,Person ID 100319,20.82
141956,17,182,Person ID 141956,10.71
112276,17,112,Person ID 112276,6.59
