id,name,date_end,province,organizer_id,arbiter_id,pairings,rating_type,n_players,n_rounds
199607001,Friendship 4 Round Robin,1996-04-20,ON,106376,104137,SS,R,24,3
199607002,Hensel vs Fleury,1996-04-29,NS,0,108109,SS,R,2,4
199607003,SJCC April Swiss,1996-04-29,NB,0,102718,SS,R,8,4
199607004,North Bay Club,1996-05-01,ON,110641,103427,SS,R,14,5
199607005,GMCC 6,1996-05-06,NB,0,108718,SS,R,22,6
199607006,Ontario High School Championships,1996-05-12,ON,0,106868,SS,R,26,5
199607007,Saint John City and District,1996-05-12,NB,0,102718,SS,R,9,5
199607008,Teodoro vs Teodoro,1996-05-13,ON,0,112575,SS,R,2,6
199607009,Ossinger vs Fyffe,1996-05-15,NB,0,111808,SS,R,2,2
199607010,Killarney Junior A,1996-05-26,BC,0,106295,SS,R,14,5
199607011,Killarney Junior B,1996-05-26,BC,0,106295,SS,R,18,5
199607012,Killarney Junior C,1996-05-26,BC,0,106295,SS,R,20,5
199607013,Calgary Open,1996-06-01,AB,0,101955,SS,R,26,7
199607014,NB Open,1996-06-02,NB,0,109003,SS,R,26,5
199607015,Saskatchewan Closed,1996-06-02,SK,0,0,RR,R,6,1
199607016,Wannabe Tournament,1996-06-02,SK,0,103999,SS,R,8,6
199607017,Durham Spring RR,1996-06-06,ON,0,108609,RR,R,6,1
199607018,RA Pickup 1,1996-06-06,ON,0,101613,SS,R,43,6
199607019,RA Fast Traffic V,1996-06-09,ON,0,101613,SS,R,12,4
199607020,Red Deer Open,1996-06-09,AB,0,101750,SS,R,20,5
199607021,Calgary Spring Tournament,1996-06-11,AB,0,104195,SS,R,31,7
199607022,Quebec Closed,1996-06-12,QC,0,0,RR,R,10,1
199607023,Another Naughty Knight,1996-06-13,ON,0,100063,RR,R,6,1
199607024,First Rate Tournament,1996-06-14,SK,0,106675,SS,R,5,5
199607025,CRCC Club Championship,1996-06-16,NB,0,102063,RR,R,10,2
199607026,Eastern Ontario Open A,1996-06-16,ON,0,101613,SS,R,27,5
199607027,Eastern Ontario Open B,1996-06-16,ON,0,101613,SS,R,66,5
199607028,Winnipeg Fathers Day,1996-06-16,MB,0,103280,SS,R,27,5
199607029,UBC Tuesday Night May,1996-06-18,BC,0,100314,SS,R,19,5
199607030,Dont Miss the Swiss,1996-06-19,ON,0,108689,SS,R,10,4
199607031,Memories of Fischer,1996-06-20,AB,0,106052,SS,R,23,5
199607032,Forum of the 4 Caesars,1996-06-22,ON,0,101613,RR,R,4,1
199607033,Galleria Invitational,1996-06-23,ON,0,108844,RR,R,8,1
199607034,JCC Vancouver Junior A,1996-06-23,BC,0,106295,SS,R,10,5
199607035,JCC Vancouver Junior B,1996-06-23,BC,0,106295,SS,R,16,5
199607036,JCC Vancouver Junior C,1996-06-23,BC,0,106295,SS,R,18,5
199607037,Victoria Summer Open,1996-06-23,BC,0,100205,SS,R,12,5
199607038,Saint John June Swiss,1996-06-24,NB,0,102718,SS,R,24,4
199607039,Start of Summer RR,1996-06-24,ON,0,108844,RR,R,4,4
199607040,Cordes vs Poirier,1996-06-25,NS,0,101735,SS,R,2,1
199607041,Klapstein vs Rose,1996-06-25,NS,0,101735,SS,R,2,1
199607042,Marche vs Mahar,1996-06-25,NS,0,101735,SS,R,2,1
199607043,Toth vs Hatt,1996-06-25,NS,0,101735,SS,R,2,1
199607044,Geza Fuster Memorial A,1996-06-27,ON,0,109445,RR,R,8,1
199607045,Geza Fuster Memorial B,1996-06-27,ON,0,109445,RR,R,8,1
199607046,Geza Fuster Memorial C,1996-06-27,ON,0,109445,RR,R,8,1
199607047,Geza Fuster Memorial D,1996-06-27,ON,0,109445,RR,R,8,1
199607048,Geza Fuster Memorial E,1996-06-27,ON,0,109445,RR,R,7,1
199607049,Scarb Thursday Spring Open,1996-06-27,ON,0,100317,SS,R,42,6
199607050,Scarb Thursday Swiss U1800,1996-06-27,ON,0,100317,SS,R,34,6
199607051,Dominion Day Round Robin,1996-06-30,ON,0,108844,RR,R,9,2
199607052,RA Fast Traffic VI,1996-06-30,ON,0,101613,SS,R,13,5
199607053,TO Canada Day Open,1996-06-30,ON,0,106693,SS,R,36,5
199607054,TO Canada Day U1700,1996-06-30,ON,0,106693,SS,R,47,4
199607055,TO Canada Day U2100,1996-06-30,ON,0,106693,SS,R,56,5
199607056,Murphy vs Maillet,1996-07-01,ON,0,0,SS,R,2,4
199607057,Interior BC Championship,1996-07-03,BC,0,105611,SS,R,20,5
199607058,Tosh Active,1996-05-11,PE,0,106527,RR,Q,8,1
199607059,Saint John Spring Active,1996-05-13,NB,0,102718,SS,Q,18,6
199607060,Scarb Chess Members Only Active,1996-06-02,ON,0,100317,SS,Q,47,6
199607061,EJCC Mysterious May Melodies,1996-06-04,AB,0,110778,SS,Q,9,5
199607062,High Level First Active,1996-06-08,AB,0,111232,RR,Q,7,1
199607063,U of S Active 8,1996-06-08,SK,0,111065,SS,Q,9,5
199607064,Weston Active III,1996-06-13,ON,0,100357,SS,Q,12,6
199607065,Peace River Club Active,1996-06-22,AB,106828,106877,SS,Q,12,5
199607066,Canadian Open 1996,1996-07-22,AB,0,100205,SS,R,147,10
199609001,Kingston CC A,1996-05-15,ON,0,102214,RR,R,6,1
199609002,Kingston CC A2,1996-05-15,ON,0,102214,RR,R,5,1
199609003,Kingston CC B,1996-05-15,ON,0,102214,RR,R,9,1
199609004,Kingston CC C,1996-05-15,ON,0,102214,RR,R,10,1
199609005,DeLaParra Dickson Match,1996-05-16,ON,0,102214,RR,R,2,1
199609006,Hargreaves Babatbun Playoff,1996-05-16,ON,0,102214,RR,R,2,2
199609007,Jacques Coppin Match,1996-05-16,ON,0,102214,RR,R,2,1
199609008,McKay Struthers Match,1996-05-16,ON,0,102214,RR,R,2,1
199609009,Kingston CC Playoff,1996-05-17,ON,0,102214,RR,R,3,2
199609010,DeLaParra May Match,1996-05-18,ON,0,102214,RR,R,2,1
199609011,Delugt Gordon Match,1996-05-18,ON,0,102214,RR,R,2,2
199609012,Sibbald Towers Match,1996-05-18,ON,0,102214,RR,R,2,1
199609013,Atlantic Closed,1996-05-19,NS,0,105142,SS,R,13,5
199609014,Ontario O U1600,1996-05-20,ON,0,106376,SS,R,37,6
199609015,Ontario O U2000,1996-05-20,ON,0,106376,SS,R,55,6
199609016,Ontario O,1996-05-20,ON,0,106376,SS,R,43,6
199609017,Weston CC B,1996-05-30,ON,0,102519,RR,R,5,2
199609018,Weston CC C,1996-05-30,ON,0,102519,RR,R,6,2
199609019,Weston CC D,1996-05-30,ON,0,102519,RR,R,6,2
199609020,Weston CC E,1996-05-30,ON,0,102519,RR,R,4,2
199609021,Weston Class A,1996-05-30,ON,0,102519,RR,R,6,2
199609022,1996 Macedonian U1600,1996-06-02,ON,106342,106693,SS,R,32,6
199609023,Hart House O,1996-06-16,ON,0,101739,SS,R,17,5
199609024,TO Mike Copping Mem,1996-06-19,ON,103681,112029,SS,R,14,6
199609025,June Bug O,1996-06-23,SK,0,104172,SS,R,14,5
199609026,Shediac Summer,1996-06-23,NB,0,108718,SS,R,19,5
199609027,Durham Season Closer,1996-06-27,ON,109393,109393,SS,R,7,4
199609028,Can Day Open U1700 Rd5,1996-06-30,ON,0,106693,SS,R,47,1
199609029,Loyalist City,1996-06-30,NB,0,102718,SS,R,18,5
199609030,North Bay CC no name,1996-07-01,ON,0,102237,SS,R,15,5
199609031,Winnipeg Canada Day,1996-07-01,MB,0,103280,SS,R,26,6
199609032,KW Spring O,1996-07-02,ON,0,110803,SS,R,13,5
199609033,KW Spring U1600,1996-07-02,ON,0,110803,SS,R,14,5
199609034,Givson Scallion Match,1996-07-05,NS,0,109838,RR,R,2,6
199609035,Hamilton CCC Last Picture,1996-07-05,ON,0,108689,SS,R,16,5
199609036,Galleria CS 2,1996-07-09,ON,0,108844,RR,R,7,1
199609037,RA Pickup 2,1996-07-11,ON,0,100944,SS,R,44,5
199609038,Galleria CS 3,1996-07-13,ON,0,108844,RR,R,6,1
199609039,Jung Filipovich Match,1996-07-13,ON,0,100182,RR,R,2,5
199609040,H Yanofsky B,1996-07-15,MB,0,0,SS,R,10,5
199609041,H Yanofsky Mem A,1996-07-15,MB,0,0,RR,R,6,1
199609042,NB July Challenge,1996-07-18,NB,0,108103,SS,R,3,6
199609043,UBC Tues June,1996-07-23,BC,100314,100934,SS,R,26,5
199609044,Johnson Gilchrist Match,1996-07-24,ON,0,110983,RR,R,2,6
199609045,Smith Bessette Match,1996-07-24,ON,0,103427,RR,R,2,6
199609046,Franke Brown Match,1996-07-25,ON,106109,102882,RR,R,2,4
199609047,Galleria CS July 2,1996-07-27,ON,0,108844,RR,R,5,2
199609048,Galleria CS July,1996-07-27,ON,0,108844,RR,R,6,1
199609049,Scarborough Sum RR 1,1996-07-28,ON,0,0,RR,R,8,1
199609050,Scarborough Sum RR 2,1996-07-28,ON,0,0,RR,R,8,1
