postal_code,latitude,longitude,place_name,count
N6C,42.9582,-81.238,London South (East Highland / North White Oaks / North Westminster),1
V9R,49.1609,-123.9825,Nanaimo South,1
V3A,49.0997,-122.6526,Langley City,1
K1C,45.4677,-75.5399,Gloucester (West Orleans),1
R3N,49.8629,-97.1959,Winnipeg (River Heights West),2
E3B,45.8119,-66.6763,Fredericton South New Brunswick Provincial Government,1
K4A,45.4697,-75.4715,Orleans (Fallingbrook),2
V7M,49.3222,-123.0834,North Vancouver Southwest Central,1
S7L,52.1564,-106.6873,Saskatoon West,1
M8Z,43.6256,-79.5231,Etobicoke (Mimico NW / The Queensway West / South of Bloor / Kingsway Park South West / Royal York South West),2
L9C,43.2313,-79.9049,Hamilton (Southam / Bonnington / Yeoville / Kernighan / Gourley / Rolston / Buchanan / Mohawk / Westcliffe / Gilbert / Gilkson / Gurnett / Fessenden / Mountview),1
V8J,54.3161,-130.3201,Prince Rupert,1
T3E,50.9899,-114.1574,Calgary (Lakeview / Glendale / Killarney / Glamorgan),2
M9P,43.6949,-79.5323,Etobicoke (Westmount),1
K1T,45.3295,-75.6156,Gloucester (Blossom Park / Hunt Club East / Leitrim),1
M2J,43.7801,-79.3479,North York (Fairview / Henry Farm / Oriole),1
L2P,43.1527,-79.2091,St. Catharines East,1
V9B,48.4793,-123.5271,Highlands,1
L3M,43.2001,-79.5663,Grimsby,1
J4L,45.5181,-73.4576,Longueuil Southeast,1
V5Z,49.2475,-123.121,Vancouver (East Fairview / South Cambie),1
M8W,43.6021,-79.5402,Etobicoke (Alderwood / Long Branch),2
L1X,43.8558,-79.0972,Pickering Central,1
V3T,49.1894,-122.8454,Surrey Inner Northwest,2
M3C,43.7334,-79.3329,Don Mills South (Flemingdon Park),2
N2G,43.4443,-80.4891,Kitchener Central,2
K1E,45.4771,-75.5046,Orleans (Queenswood),1
V5L,49.2795,-123.0667,Vancouver (North Grandview-Woodlands),1
R3T,49.8143,-97.1531,Winnipeg (Fort Garry NE / University of Manitoba),1
L5J,43.5102,-79.6296,Mississauga (Clarkson / Southdown),1
L1V,43.8605,-79.1618,Pickering Southwest,1
M1S,43.7946,-79.2644,Scarborough (Agincourt),1
P3E,46.2676,-80.9063,Greater Sudbury (Robinson / Lockerby),1
L4X,43.6178,-79.5786,Mississauga (East Applewood / East Dixie / NE Lakeview),1
T2A,51.0494,-113.9564,Calgary (Penbrooke Meadows / Marlborough),1
V5N,49.2551,-123.0667,Vancouver (South Grandview-Woodlands / NE Kensington),1
M3H,43.7535,-79.4472,North York (Armour Heights / Wilson Heights / Downsview North),2
N6B,42.9835,-81.2386,London Central,1
M4N,43.7301,-79.3935,Central Toronto (Lawrence Park East),2
T3M,50.8796,-113.9555,Calgary (Cranston),2
N5Y,43.0123,-81.2307,London (West Huron Heights / Carling),1
N2A,43.4413,-80.4246,Kitchener East,1
L4A,43.9668,-79.2496,Stouffville,1
M4B,43.7063,-79.3094,East York (Parkview Hill / Woodbine Gardens),1
L5L,43.5373,-79.6903,Mississauga (Erin Mills / Western Business Park),1
V6N,49.2302,-123.189,Vancouver (Dunbar-Southlands / Musqueam),3
K1V,45.3281,-75.6719,Ottawa (Riverside Park / Hunt Club West / Riverside South / YOW),5
P2A,45.3501,-80.033,Parry Sound,1
M4E,43.6784,-79.2941,East Toronto (The Beaches),1
K1G,45.3548,-75.5773,Ottawa (Riverview / Hawthorne),2
M5T,43.6541,-79.3978,Downtown Toronto (Kensington Market / Chinatown / Grange Park),2
V8R,48.4496,-123.3026,Oak Bay North,1
V7J,49.3622,-123.0178,North Vancouver East Central,1
H2V,45.5168,-73.6072,Outremont,2
A1C,47.5124,-52.6729,St. John's North Central,1
V8V,48.4167,-123.365,Victoria South,1
J8V,45.5711,-75.7615,Gatineau Northwest,1
V5W,49.2327,-123.0917,Vancouver (SE Riley Park-Little Mountain / SW Kensington / NE Oakridge / North Sunset),1
M4M,43.6561,-79.3406,East Toronto (Studio District),1
V9A,48.4496,-123.4193,Esquimalt,1
V3B,49.274,-122.7649,Port Coquitlam Central,1
M6S,43.6512,-79.4828,West Toronto (Bloor West Village / Swansea),1
H2K,45.5307,-73.5547,Centre-Sud North,2
R2R,49.9377,-97.2162,Winnipeg (Inkster West),1
M2M,43.7915,-79.4103,Willowdale East (Newtonbrook),4
K2L,45.3001,-75.9244,Kanata (Katimavik-Hazeldean / Glen Cairn),1
P1A,46.2801,-79.4502,North Bay South,1
M6C,43.6915,-79.4307,York (Cedarvale),1
K2B,45.3645,-75.7934,Ottawa (Britannia / Pinecrest),3
V4V,50.0221,-119.4054,Winfield,1
N2J,43.504,-80.5366,Waterloo Southeast,2
M9R,43.6898,-79.5582,Etobicoke (Kingsview Village / St. Phillips / Martin Grove Gardens / Richview Gardens),1
V5R,49.2397,-123.0407,Vancouver (South Renfrew-Collingwood),2
M6P,43.6605,-79.4633,West Toronto (High Park / The Junction South),2
L3R,43.8479,-79.3288,Markham Outer Southwest,3
N8X,42.2926,-83.0186,Windsor South Central (West Walkerville / Remington Park),1
H4J,45.5313,-73.7091,Cartierville Central,2
T5T,53.5185,-113.6579,Edmonton West (West Jasper Place / West Edmonton Mall),3
H2R,45.5401,-73.6225,Villeray Southeast,1
G1C,46.8801,-71.196,Beauport Central,1
K1S,45.399,-75.6871,Ottawa (The Glebe / Ottawa South / Ottawa East),1
T2W,50.9514,-114.3591,Calgary (Braeside / Woodbine),1
K1J,45.4519,-75.6036,Gloucester (Beacon Hill / Cyrville),2
M4H,43.7059,-79.3464,East York (Thorncliffe Park),1
V5A,49.264,-122.9369,Burnaby (Government Road / Lake City / SFU / Burnaby Mountain),1
H2J,45.5302,-73.5831,Plateau Mont-Royal North Central,2
L3S,43.8486,-79.2617,Markham Southeast,1
H3W,45.4897,-73.6312,Côte-des-Neiges Southwest,2
T2P,51.0708,-113.6931,Calgary (City Centre / Calgary Tower),2
J5R,45.4168,-73.4992,La Prairie,1
V6G,49.299,-123.1408,Vancouver (North West End / Stanley Park),1
M1C,43.7878,-79.1564,Scarborough (Rouge Hill / Port Union / Highland Creek),1
T6A,53.5482,-113.4318,Edmonton (North Capilano),1
T2C,50.987,-113.9634,Calgary (Lynnwood Ridge / Ogden / Foothills Industrial / Great Plains),1
L3T,43.8227,-79.3946,Thornhill East,2
V3M,49.1886,-122.9384,New Westminster Southwest (Includes Annacis Island),2
K2A,45.3805,-75.7636,Ottawa (Highland Park / Carlingwood),2
M5R,43.6736,-79.4035,Central Toronto (The Annex / North Midtown / Yorkville),1
R2V,49.9548,-97.1112,Winnipeg (Seven Oaks East),2
L4J,43.8156,-79.4534,Thornhill West,7
L9A,43.2271,-79.871,Hamilton (Crerar / Bruleville / Hill Park / Inch Park / Centremount / Balfour / Greeningdon / Jerome),1
T2V,50.9819,-114.1004,Calgary (Oak Ridge / Haysboro / Kingsland / Windsor Park),1
V8P,48.4583,-123.3325,Saanich Southeast,2
T2Z,50.9278,-113.9682,Calgary (Douglas Glen / McKenzie Lake / Copperfield / East Shepard),1
K2C,45.3679,-75.7381,Ottawa (Queensway / Copeland / Carlington / Carleton Heights),2
H2L,45.5186,-73.5545,Centre-Sud South,1
L5R,43.606,-79.6708,Mississauga (West Hurontario / SW Gateway),1
