eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost,rating_type
199607053,1996-06-30,TO Canada Day Open,ON,36,0,2.0,2122,2240,R
199609072,1996-08-05,Simcoe Day Open,ON,19,0,3.0,2317,2255,R
199609080,1996-08-11,NBIO Open Section,ON,79,103427,4.0,2274,2262,R
199609103,1996-09-02,1996 Macedonian Open,ON,42,106342,3.0,2232,2255,R
199610088,1996-10-14,TO Thanksgiving Open,ON,50,100902,3.5,2200,2243,R
199611052,1996-11-10,Remembrance Day Open,ON,36,106693,3.0,2090,2219,R
199701062,1996-12-18,Parliament Futurity IV,ON,8,103482,3.5,2255,2229,R
199703024,1997-02-15,Toronto Closed,ON,12,0,8.0,2523,2329,R
199707048,1997-06-29,Canada Day Open,ON,24,0,3.0,2460,2339,R
199708033,1997-08-03,Simcoe Day Open,ON,20,0,3.0,2343,2339,R
199708038,1997-08-10,NBIO Open,ON,59,120817,5.0,2420,2354,R
199802051,1998-01-31,Paul Williams vs Robert Murray,ON,2,0,5.5,2654,2390,R
199808029,1998-08-03,Vancouver Open 1998,BC,41,100238,4.0,2184,2378,R
199809041,1998-09-07,Macedonian Open,ON,73,106342,4.0,2214,2361,R
199901053,1999-01-10,Filipovich vs Williams,ON,2,0,2.5,2288,2352,R
199906110,1999-06-20,1999 Fathers Day Open,ON,43,100942,3.5,2408,2358,R
199909026,1999-09-06,Macedonian Open,ON,33,0,4.0,2429,2366,R
200001032,1999-12-29,Pan American Intercollegiate Team,ON,135,110210,1.5,1912,2317,R
