eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost
200303096,2003-03-09,2003 Toronto Class Ch Masters 2,ON,6,0,4.5,2610,2610
200305044,2003-04-25,CMA Futurity III 2003,QC,10,0,5.5,2416,2485
200305168,2003-05-25,Povilas Vaitonis Memorial Section 1,ON,6,0,3.5,2410,2465
200307077,2003-07-20,2003 Canadian Open,ON,141,0,5.5,2443,2462
200308014,2003-08-02,SWOCL Futurity,ON,10,0,7.0,2512,2471
200308021,2003-08-10,2003 Guelph ProAm Int Open,ON,38,0,4.5,2240,2430
200310072,2003-10-08,BGC September Masters,ON,8,0,5.0,2506,2440
200310118,2003-10-31,2003 Ontario Junior Championship,ON,10,0,5.0,2432,2449
200312053,2003-12-30,BGC November Masters,ON,8,0,2.0,2153,2413
200312056,2003-12-31,2004 Pan Am Qualifier A,AB,5,0,4.0,2401,2420
200401011,2004-01-06,2004 Canadian Junior Ch,AB,19,0,8.5,2425,2431
200405118,2004-05-24,2004 Ontario Open  Open,ON,52,0,5.0,2560,2447
200408004,2004-07-10,CYCC National Ch Boys U14,ON,10,0,6.5,1967,2442
200408012,2004-07-18,2004 Canadian Open Championships,ON,124,0,6.0,1962,2410
200408030,2004-08-02,Guelph ProAm International 2004,ON,30,0,5.0,2461,2420
200409031,2004-08-29,Canadian Closed 2004,ON,69,0,5.0,2329,2403
200503089,2005-03-05,Ontario Closed,ON,12,0,3.5,2401,2402
200505034,2005-05-04,2005 Canadian Junior,ON,12,0,8.0,2167,2396
200507066,2005-07-17,2005 Canadian Open,AB,222,0,7.5,2511,2427
200508026,2005-08-01,Guelph ProAm 2005,ON,35,0,5.5,2382,2419
200709019,2007-09-03,2007 Toronto Labour Day Open,ON,31,106974,5.0,2630,2460
200802094,2008-02-17,KW Winter Open,ON,27,100182,4.0,2439,2465
200907018,2009-07-19,2009 Canadian Open,AB,203,135072,6.5,2382,2462
